RATING,KATEGORI,GAMBAR,PRODUK,BRAND,DESKRIPSI,HARGA,skin_type,keywords,allergen
4,serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1628568334_product_15_800x800.png,Niacinamide 10% + Zinc 1%,The Ordinary,"The Ordinary Niacinamide 10% + Zinc 1% menyamarkan noda bekas jerawat pada wajah serta menyeimbangkan kadar sebum pada wajah.
  
  How to Use:
  Aplikasikan pada wajah pagi dan malam hari
  
  Suitable for:
  Kulit normal
  
 Ingredients:
  Aqua (Water), Niacinamide, Zinc PCA, Tamarindus Indica Seed Gum, Pentylene Glycol, Carrageenan, Acacia Senegal Gum, Xanthan Gum, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Ethoxydiglycol, Phenoxyethanol, ChloRp henesin.",Rp157.000,normal,"menyamarkan noda , bekas , noda , menyamarkan , jerawat , normal , kulit normal",Tidak
"4,3",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1581047610_Niacidinam_800x800.jpg,Niacinamide + Moisture Beet Serum,Somethinc,"Somethinc Niacinamide + Moisture Beet Serum merupakan serum yang diformulasikan untuk mengatasi kulit kusam dan lelah. Mengandung Niacinamide yang dapat memperkuat lapisan perlindungan kulit dengan memproduksi Ceramide, Beetroot yang dapat menangkal radikal bebas dan melembapkan kulit. Selain itu, juga berfungsi untuk mencerahkan dan menyamarkan noda hitam pada kulit, meningkatkan tekstur kulit, mengatasi kemerahan, dan mencegah jerawat.
  
  How to Use:
  Tuangkan 5-10 tetes serum pada telapak tangan. Aplikasikan pada seluruh wajah secara merata.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Aqua, Allantoin, edta, Niacinamide, hydroxyethylcellulose, glycerin, butylene glycol, fructooligosaccharides, Beta Vulgaris Toot Extract(beet) , Phenoxyethanol.",Rp115.000,semua,"mengatasi , kulit kusam , menyamarkan noda , melembapkan , noda hitam , bebas , kusam , mencegah , diformulasikan , noda",Tidak
"4,7",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1679551936_PDP_TEMPLA_800x800.jpg,N10-Dose+ Brightening Serum,Whitelab,"Whitelab N10-Dose+ Brightening Serum merupakan re-formulasi dari Whitelab Intense Brightening Serum dengan penambahan CYBRIGHT. Dengan kandungan Niacinamide 10% (Highest Grade), HyaluComplex-10, Marine Collagen dan Cybright bekerja sinergis mencerahkan dan menutrisi kulit membuat wajah tampak lebih cerah, lembab dan glowing alami. Berfungsi untuk mencerahkan kulit secara maksimal; menyamarkan noda gelap, hipeRp igmentasi, dan bekas jerawat; merawat kelembaban; kehalusan dan kelembutan kulit; menyamarkan garis halus dan kerutan pada wajah; dan mengurangi kemerahan pada kulit.
  
  How to use:
  Tuangkan 2-4 tetes Whitelab N10-Dose+ Brightening Serum dan oleskan ke kulit yang telah dibersihkan secara merata. Gunakan pagi dan malam hari sebelum menggunakan krim wajah. Dapat digunakan oleh ibu hamil dan menyusui. 
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
 Aqua, Propylene Glycol, Niacinamide, Ethyl Alcohol, Glycerin, Phenoxyethanol, Allantoin, Carbomer, DMDM Hydantoin, Dipotassium Glycyrrhizate, Soluble Collagen, Triethanolamine, Glycyrrhiza Glabra Root Extract, PEG-60 Hydrogenated Castor Oil, Sodium Hyaluronate, Perfume, Dimethylsilanol Hyaluronate, Cystoseira TamariscIfolia Extract, 1,2-Hexanediol, Ascorbyl Propyl Hyaluronate, Hyaluronic Acid, Sodium Acetylated Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Potassium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Hydrolyzed Sodium Hyaluronate, Pentylene Glycol",Rp75.000,semua,"menyamarkan , mencerahkan , garis , menutrisi kulit , menyamarkan noda , bekas , merawat , menutrisi , mencerahkan kulit , ascorbyl",Ya
"4,8",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1583726418_lightening_800x800.png,C White Lightening Serum,Azarine Cosmetics,"Azarine Cosmetics C White Lightening Serum adalah serum dengan kandungan tinggi bahan aktif alami untuk whitening. Campuran kakadu dan lainnya mencerahkan kulit termasuk flek hitam pada kulit. Diperkaya asam amino dan hyaluronic acid untuk mengencangkan, mengembalikan dan melembabkan hingga lapisan terdalam kulit. Serum dingin ini juga membantu proses pembentukan kolagen pada kulit dan mengurangi guratan halus kulit / keriput. Kulit akan terasa kenyal, segar dan cerah berseri setelah pemakaian.
  
 Suitable for:
 Semua jenis kulit
 
 Ingredients:
  Kakadu Plum, Lemon, Niacinamide, Papaya, Aloe Vera.",Rp220.000,semua,"mencerahkan kulit , mengurangi , diperkaya , segar , hitam , melembabkan , halus , cerah , kandungan , mencerahkan",Tidak
"4,3",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1516272279_Cosrx_Adva_800x800.jpg,Advanced Snail 96 Mucin Power Essence,Cosrx,"Cosrx Advanced Snail 96 Mucin Power Essence diformulasikan dengan 96% Snail Secretion Filtrate (Mucin)yang dapat memberi kelembapan ekstra kepada kulit serta memperbaiki tekstur kulit menjadi lebih sehat dan kenyal. Memiliki tekstur yang agak kental tetapi terasa ringan di kulit.
  
  How to Use:
  Tuangkan produk secukupnya ke telapak tangan kemudian usapkan ke seluruh wajah, hindari area mata dan mulut. Tepuk wajah secara lembut agar produk dapat menyerap dengan sempurna.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Snail Secretion Filtrate, Betaine, Butylene Glycol,1,2-Hexanediol, Sodium Hyaluronate, Panthenol, Arginine, Allantoin, Ethyl Hexanediol, Sodium Polyacrylate, Carbomer, Phenoxyethanol",Rp47.500,semua,"tekstur , menyerap , kelembapan , hindari , diformulasikan , area , ringan , lembut , semua jenis kulit , semua jenis",Tidak
"4,3",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1603788246_d143ad068e_800x800.jpg,Madagascar Centella Asiatica Ampoule,Skin1004,"Skin1004 Madagascar Centella-Asiatica 100 Ampoule terbuat dari 100% ekstrak Centella Asiatica yang aman bagi kulit sensitif 
  dan menjadikan kulit lebih cerah dan muda. Ekstrak Centella Asiatica tersebut terdiri dari 30% Asiaticoside yang dapat menyeimbangkan kadar minyak pada kulit, 30% Asiatic Acid yang dapat meningkatkan lapisan perlindungan kulit dan dapat berfungsi sebagai antioksidan, serta 40% Madecassic Acid yang dapat memperbaiki kulit yang bermasalah. Memiliki formula yang cepat menyerap dan melembapkan kulit.
  
  How to Use:
  Aplikasikan pada seluruh wajah secukupnya setelah menggunakan toner. Dapat juga dicampurkan pada pelembap favorit, dicampurkan dengan air untuk digunakan sebagai face mist, atau tuangkan pada kapas dan dijadikan sebagai masker.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Centella Asiatica extract 100%",Rp250.000,"sensitif, semua","ekstrak , menyerap , kulit cerah , melembapkan , face , antioksidan , formula , toner , kulit sensitif , sensitif",Tidak
"4,2",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1652238447_Innisfree__800x800.jpg,Green Tea Seed Serum,Innisfree,"innisfree Green Tea Seed Serum merupakan serum yang diformulasikan dengan Green Tea Tri-biotics ™, untuk membantu merawat kulit yang dehidrasi dan kadar pH yang tidak seimbang akibat hilangnya hidrasi setiap hari dengan melembapkan, menyejukkan, dan menutrisi agar kulit tampak sehat.
  
  How to use:
  Aplikasikan secukupnya pada wajah dan leher yang telah dibersihkan secara menyeluruh, lalu ratakan dengan lembut untuk penyerapan yang lebih baik.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  WATER / AQUA / EAU, PROPANEDIOL, GLYCERIN, ALCOHOL DENAT., 1,2-HEXANEDIOL, TREHALOSE, NIACINAMIDE, BETAINE, SACCHARIDE ISOMERATE, CAMELLIA SINENSIS SEED OIL, CETEARYL OLIVATE",Rp395.000,semua,"camellia , menutrisi kulit , melembapkan , merawat , menutrisi , propanediol , diformulasikan , tidak , lembut , membantu",Tidak
"4,1",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1679644143_ESSENCE_D_800x800.jpg,Facial Treatment Essence,SK-II,"SK-II Facial Treatment Essence adalah Miracle Water ringan yang cepat meresap ke dalam kulit. Merupakan produk andalan SK-II yang dinobatkan sebagai produk terlaris. Facial Treatment Essence memiliki lebih dari 90% Pitera™, bahan yang ditemukan lebih dari 30 tahun yang lalu namun masih tetap sama hingga hari ini. Formula yang tak tergantikan ini dengan lembut mampu membantu mengangkat sel kulit mati pada permukaan kulit wajah dan membantu siklus peremajaan permukaan kulit. Hanya dengan pemakaian teratur selama 14 hari, Facial Treatment Essence dapat membantu mentransformasi 5 dimensi kulit: membantu menyamarkan bintik hitam, membantu mengurangi tampilan kerutan, membantu menyempurnakan tekstur kulit, kulit terasa lebih kencang serta membantu kulit tampak lebih cerah. Kulit tampak lebih bersinar menawan sebening kristal.
  
  How To Use:
  Basahi kapas dan usapkan lembut pada wajah selama 1 menit. Gunakan sisi sebaliknya dan tepuk-tepuk perlahan wajah serta leher selama 1 menit. Lakukan ini setiap pagi dan malam setelah membersihkan wajah dan memakai toner.
  
  Suitable For:
  Semua jenis kulit
  
 Ingredients:
 Saccharomycopsis Ferment Filtrate**, Butylene Glycol, Pentylene Glycol, Aqua (Water/ Eau), Sodium Benzoate, Methylparaben, Sorbic Acid",Rp1.825.000,semua,"facial , membantu , lembut , kulit kulit , kulit cerah , benzoate , formula , toner , tekstur , sel kulit mati",Tidak
4,serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1615355543_Snail_True_800x800.jpg,Snail Truecica Miracle Repair Serum,Some by Mi,"Some by Mi Snail Truecica Miracle Repair Serum merupakan serum yang mengandung 890.000ppm Snail Truecica yang terdiri dari Black Snail Extract dan Truecica. Membantu regenerasi kulit untuk memperbaiki kerusakan kulit dengan Black Snail Extract. Menenangkan kulit dan memperkuat penghalang kulit dengan Truecica, dan menghilangkan noda dan bekas luka jerawat dengan hasil akhir yang tidak lengket.
  
  How to use:
  Setelah toner, oleskan jumlah yang tepat pada wajah dan tepuk untuk penyerapan yang lebih baik.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
 Water (Aqua), Propanediol, Dicaprylyl Carbonate, Polyglyceryl-3 Methylglucose Distearate, Niacinamide, 1,2-Hexanediol, Butylene Glycol, Cyclomethicone, Cetearyl Alcohol, Squalane, Glyceryl Stearate, Carbomer, Tromethamine, Ethylhexylglycerin, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Allantoin, Sodium Polyacrylate, Hydrolyzed Collagen, Limonene, Glycerin, Adenosine, Centella Asiatica Extract, Linalool, Disodium EDTA, Salvia Officinalis (Sage) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Artemisia Princeps Leaf Extract, Pentylene Glycol, Tocopherol, Madecassoside, Snail Secretion Filtrate, Hydrolyzed Vegetable Protein, Hydrogenated Lecithin, Asiaticoside, Madecassic Acid, Asiatic Acid, Stearic Acid, Ceramide NP, Ceramide NS, Phytosphingosine, Cholesterol, Ceramide AS, Ceramide AP, Ceramide EOP",Rp175.000,semua,"menghilangkan , bekas , menenangkan , propanediol , toner , noda , stearic , jerawat , tidak , membantu",Ya
"3,6",serum,//image.femaledaily.com/dyn/210/images/prod-pics/product_1612511979_Fresh_Herb_800x800.jpg,Fresh Herb Origin Serum,NACIFIC,"Natural Pacific Fresh Herb Origin Serum mengandung berbagai bahan alami yang dapat memberikan banyak manfaat pada kulit. Diperkaya dengan antioksidan, serum ini dapat meningkatkan elastisitas kulit, mencegah munculnya keriput, menyeimbangkan produksi minyak, memberikan kelembapan dan meratakan warna kulit. Dilengkapi dengan Aloe Vera yang dapat memberikan efek menenangkan bagi kulit. Memiliki formula yang mudah menyerap dan meninggalkan tingling sensation setelah diaplikasikan.
  
  How to Use:
  Kocok produk sebelum digunakan. Usapkan produk secukupnya ke seluruh wajah secara merata. Gunakan pada pagi dan malam hari untuk hasil yang optimal.
  
  Suitable for:
  Semua jenis kulit
  
 Ingredients:
  Aloe Barbadensis Leaf Water, Aspalathus Linearis Extract, Glycerin, Helianthus Annuus Seed Oil, Hydrogenated palm oil,Simmondsia Chinensis Seed Oil, Punica Granatum Fruit Extract, Ficus Carica Fruit Extract, Morus Alba Fruit Extract, Ginkgo Biloba Nut Extract, Hippophae Rhamnoides Oil, Argania spinosa Kernel Oil",Rp372.900,semua,"fresh , dilengkapi , menyerap , kelembapan , menenangkan , antioksidan , formula , mencegah , mudah , diperkaya",Tidak
